                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.50731,                0.40924,                0.89487,                0.96627,                0.90723,                0.96708,                0.87432,                0.48123,                0.41923,                0.86502,              0.0005611,              0.0005611,              0.0005611
                    136,                0.50106,                0.40635,                0.88593,                  0.974,                0.89769,                0.96834,                0.88242,                0.45804,                0.40326,                0.85755,              0.0005578,              0.0005578,              0.0005578
                    137,                0.49632,                0.39847,                0.88808,                0.91609,                0.92807,                0.96875,                0.87366,                 0.4744,                0.41265,                0.85914,              0.0005545,              0.0005545,              0.0005545
                    138,                0.49602,                0.39455,                0.88793,                0.94956,                0.93542,                0.97046,                0.87685,                0.46652,                0.39092,                0.85849,              0.0005512,              0.0005512,              0.0005512
                    139,                0.49505,                0.38931,                0.88318,                0.96615,                0.89942,                0.96312,                0.87165,                0.47492,                0.42606,                0.86203,              0.0005479,              0.0005479,              0.0005479
                    140,                0.48675,                0.39106,                0.87771,                0.97103,                0.90202,                0.96716,                0.86221,                 0.4974,                0.40353,                0.87008,              0.0005446,              0.0005446,              0.0005446
                    141,                 0.4853,                0.38762,                 0.8876,                0.94736,                 0.9087,                0.95847,                0.85914,                0.46059,                0.43681,                0.85676,              0.0005413,              0.0005413,              0.0005413
                    142,                0.48921,                0.39395,                0.88849,                0.96429,                0.91008,                0.96693,                0.86751,                0.47595,                0.40851,                0.85903,               0.000538,               0.000538,               0.000538
                    143,                0.50758,                0.40177,                0.89177,                0.98176,                 0.8999,                 0.9672,                0.86745,                0.48134,                 0.4002,                0.86334,              0.0005347,              0.0005347,              0.0005347
                    144,                0.48608,                 0.3874,                0.88304,                0.97091,                0.92256,                0.96461,                0.87014,                0.46118,                0.39839,                0.85477,              0.0005314,              0.0005314,              0.0005314
                    145,                0.48283,                0.38603,                0.88279,                0.94641,                0.92091,                0.96086,                0.86719,                0.47753,                0.40655,                0.86617,              0.0005281,              0.0005281,              0.0005281
                    146,                0.48145,                0.39219,                 0.8839,                 0.9497,                0.91385,                 0.9625,                0.86954,                0.46375,                0.39429,                0.85963,              0.0005248,              0.0005248,              0.0005248
                    147,                0.47584,                0.39023,                0.88461,                0.95152,                0.91004,                 0.9645,                0.87596,                0.46632,                0.39574,                0.86588,              0.0005215,              0.0005215,              0.0005215
                    148,                0.47877,                0.39119,                0.87761,                0.97019,                0.89161,                0.95793,                0.87098,                0.46013,                0.39542,                0.86206,              0.0005182,              0.0005182,              0.0005182
